trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-06-20,-0.052514883,-0.001202068,0.0083132931,0.013970401,-0.02371197,-0.000500488,0.000285,-0.003934944,0.0088582333,0.0122603413,-0.014882567,-0.000945833
1994-06-21,-0.009215937,0.0033630888,-0.001355064,0.0004905298,0.0077153311,-0.000614751,0.000285,0.0067205556,-0.001088067,0.0044016508,0.0063913365,0.00097725
1994-06-22,0.0159108955,-0.000913229,-0.005915083,-0.002845612,-0.002440655,0.0059717078,0.000285,-0.001068022,-0.003693783,-0.004090889,-0.001966361,0.0027025
1994-06-23,-0.00851945,0.0019493713,-0.002907672,0.0001094662,0.0045985198,0.0047196478,0.000285,-0.001019267,-0.000960217,-0.000107929,0.0034969856,0.0054285
1994-06-24,-0.018496403,0.0002174899,0.0009194955,-0.000906919,0.0076587969,-0.0044552,0.000285,-0.00058908,0.0006855083,-0.000154032,0.0048560359,-0.00467625
1994-06-27,-0.043250852,-0.001658764,-0.009449311,0.0039987688,0.0134036871,0.0054828156,0.000285,-0.000279156,-0.008117817,0.0046236825,0.0103812356,0.00707025
1994-06-28,-0.00423698,0.0057015541,0.0167857839,-0.001286307,-0.008660499,-0.011857507,0.000285,0.0046947889,0.01714005,0.0025503095,-0.010511846,-0.005521917
1994-06-29,-0.007263308,0.0039320058,-0.005819466,-0.001074346,0.0071345911,0.0062384471,0.000285,0.0039877704,-0.005951917,-0.002339,0.0066349423,0.01024175
1994-06-30,0.0041303218,-0.012301067,-0.013484231,-0.024332399,0.0172452924,0.0125490694,0.000285,-0.007384539,-0.014615383,-0.017692865,0.0107740208,0.0011096667
1994-07-01,-0.025755602,-0.003361506,0.0185453161,-0.011258447,0.0054399932,0.0040383489,0.000285,-0.00410714,0.0205353247,-0.005460662,0.0025163179,-0.00072
1994-07-04,-0.034260906,0.0031493207,0.0107404346,-0.024778777,0.0019601019,0.003361133,0.000285,0.0023363427,0.0069031703,-0.014086701,-0.000742435,0.0033469333
1994-07-05,0.0170541204,0.0065970796,0.0086356857,-0.014521049,-0.003731846,0.0090289268,0.000285,0.0050254616,0.005979523,-0.011212452,-0.0013399,0.008041
1994-07-06,-0.029929203,-0.005621457,0.0163812697,-0.018689207,0.0079236817,0.0099023556,0.000285,-0.008385979,0.0142808925,-0.011206105,0.010390825,0.0000780455
1994-07-07,-0.012017993,-0.006525387,0.0107482475,-0.015875443,0.0114459526,0.027958544,0.000285,-0.005056737,0.0112867522,-0.011739127,0.005813775,0.0231309091
1994-07-08,0.0264578675,0.0232137324,0.0249042374,0.021378654,0.0021411067,0.0108248563,0.000285,0.0219404091,0.0203880424,0.0198628478,0.0097451635,0.0133022667
1994-07-11,-0.026295491,-0.023501426,-0.022215732,0.0019306512,-0.009967837,0.0016550683,0.000285,-0.014446725,-0.009012821,0.0055661351,-0.009813811,-0.008533271
1994-07-12,-0.002973778,-0.003424723,0.0012350509,0.0008517837,-0.002192534,0.0059566765,0.000285,-0.00315232,0.0011752024,0.001591458,0.0018561418,0.0062965333
1994-07-13,0.0182541901,0.0023890337,-0.007564577,0.0139113172,-0.004794634,-0.002967785,0.000285,0.0023342498,-0.006156958,0.0109634666,-0.004508736,0.0014140667
1994-07-14,-0.011512191,-0.005332219,0.0112657361,-0.013276076,0.002959435,-0.005112073,0.000285,-0.003521297,0.0089031443,-0.007791815,0.0073892019,-0.0049766
1994-07-15,-0.043324872,-0.008035759,0.0064620881,-0.005226164,0.0126656596,-0.0018935,0.000285,-0.006720722,0.0075345303,-0.002223253,0.0135235264,-0.002062333
1994-07-18,-0.041599109,-0.008057631,0.004202412,-0.000503635,0.0031568691,0.0045446848,0.000285,-0.007404328,0.0050690923,0.0023383172,-0.000064772,-0.000126467
1994-07-19,0.0022621308,-0.000569484,-0.001352693,-0.002346188,0.0033771449,0.0140092126,0.000285,-0.000505259,-0.000817486,-0.003182898,0.0009570481,0.008212
1994-07-20,-0.02080304,0.0020805678,0.0025877846,-0.003878117,0.0080371396,0.0086494088,0.000285,0.0023387909,0.0011030574,-0.003772209,0.0113592188,0.0073972667
1994-07-21,-0.025028014,-0.015775139,0.0131589642,-0.023994038,0.0195451994,-0.010156326,0.000285,-0.014007828,0.0114442067,-0.019905767,0.0144173894,-0.0225634
1994-07-22,-0.031425182,-0.017512796,0.0212186788,-0.042215927,0.0198300197,-0.030106465,0.000285,-0.015637795,0.017520059,-0.047542421,0.0170535721,-0.028549667
1994-07-25,0.0448283764,-0.003253096,-0.004043706,0.0141632249,-0.008516151,-0.014498694,0.000285,-0.002914889,-0.00485394,0.0119355875,-0.004583281,-0.007017467
1994-07-26,0.043355898,0.0004723646,0.00205205,-0.006426298,-0.007487791,-0.015581014,0.000285,0.00157636,0.0005876391,-0.001744316,-0.005569966,-0.0092248
1994-07-27,-0.058071207,-0.001767997,0.0094578283,-0.017819704,0.0048024819,0.0113107892,0.000285,0.0001235588,0.0066759979,-0.011879892,0.0106160385,0.0069849333
1994-07-28,-0.077937051,-0.015767377,0.0306914788,-0.037738888,0.0112684526,-0.029311424,0.000285,-0.013247338,0.0236273809,-0.033343607,0.0136232236,-0.031380933
1994-07-29,-0.01606202,-0.015593893,0.0130437621,0.0076033186,-0.010317766,-0.037103799,0.000285,-0.012253692,0.0128181704,-0.00152277,-0.000574964,-0.026769133
1994-08-01,0.3616973925,0.0135601864,-0.028420522,0.0149635652,-0.023115511,0.0154356287,0.000285,0.0014154749,-0.020703107,-0.016277714,-0.01383895,0.0112357333
1994-08-02,-0.028440422,0.0193757811,-0.001298787,0.008206054,0.0074926471,-0.01389443,0.000285,0.0354726119,0.006450319,-0.009450955,0.0145814434,0.0380626
1994-08-03,0.1998210285,0.0318404331,-0.043618597,0.0144504584,-0.027107799,0.0824154425,0.000285,0.01683501,-0.04461273,0.0085261638,-0.025607966,0.0585887333
1994-08-04,0.0561747974,0.0345211455,-0.024713112,-0.019410162,-0.029429576,0.0521446988,0.000285,0.0270504867,-0.0168174,-0.024509944,-0.038185595,0.0503248667
1994-08-05,0.1787500318,0.0649348353,-0.006236518,-0.048991714,-0.0398785,0.1690453542,0.000285,0.044148349,-0.003527845,-0.051233085,-0.025181941,0.1273242
1994-08-08,0.0231320312,0.0045933837,-0.012258175,-0.036269596,-0.012722916,0.0842224755,0.000285,0.000618363,-0.022418356,-0.033507221,-0.02487395,0.0458182
1994-08-09,-0.113107966,-0.018249759,-0.000996332,0.0172928952,0.0134783134,-0.049743606,0.000285,-0.015303876,-0.001024263,0.0140483362,0.0135051878,-0.043493733
1994-08-10,0.1688329833,0.0149940834,0.0037126106,-0.005394171,-0.00213697,0.0737283835,0.000285,0.008298332,0.0030563639,0.0020291028,-0.007115215,0.0502159333
1994-08-11,-0.049383795,-0.007213469,0.0081142324,-0.032445329,0.0238272935,-0.008812724,0.000285,-0.002589783,0.0010683991,-0.031900178,-0.001103538,0.0026230667
1994-08-12,-0.003998401,-0.000236478,0.00219826,-0.013941263,0.0037046244,0.0112573511,0.000285,-0.002395952,0.0019149985,-0.006062361,0.0079348371,-0.001453733
1994-08-15,-0.038291238,-0.005087928,-0.011285209,0.0210141843,-0.006824641,-0.021009845,0.000285,-0.001590162,-0.009769822,0.0162653345,-0.007097032,-0.009915333
1994-08-16,0.034253734,-0.002231458,-0.008663065,0.0170556714,-0.005119482,0.0294045197,0.000285,-0.005226756,-0.006451728,0.0145462369,0.0002056041,0.0224892667
1994-08-17,0.0386361104,-0.008882596,-0.02567194,0.0585138269,-0.023423988,0.0086985963,0.000285,-0.006644987,-0.024688173,0.0525380557,-0.021874604,0.0069728
1994-08-18,0.0337326548,0.0160420199,0.0042593589,-0.006787656,-0.003141423,-0.008937624,0.000285,0.0151922923,0.0038812782,-0.004482197,-0.000849179,0.0129703333
