trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
201007,0.1446077925,0.0233761619,0.006378089,-0.032952017,0.001856,0.020446992,0.0203249552,-0.04915276,-0.01232123,0.0067182585,-0.005941703,0.0008172293
201008,0.0556399333,0.0460268114,-0.063053853,0.096158031,0.001856,0.022588811,-0.038916467,0.0573360041,-0.023594629,0.0059611122,-0.013067061,0.020513632
201009,0.0244597883,-0.015748535,-0.030750995,0.0404764128,0.001856,-0.012321148,-0.019441096,0.014490881,-0.011032855,-0.010626714,-0.012734504,0.0009611035
201010,0.1179633421,-0.042331074,0.0058130507,-0.06766916,0.00206,-0.030849774,0.0182514195,-0.037717716,0.0081703612,-0.029759988,0.0123555068,-0.027911237
201011,-0.038305737,0.0578115727,-0.045457354,0.0726139815,0.00206,0.0344214919,-0.026608182,0.0544053532,0.0106354297,-0.002604339,-0.002476258,0.0219004038
201012,-0.010766096,-0.002867847,0.0159334733,-0.025305266,0.002263,0.0109431834,0.0026186733,-0.005078135,0.0199883354,-0.025712978,0.007047854,-0.022160218
201101,-0.025178067,-0.018451459,0.0587628875,-0.095805495,0.002263,-0.000875,0.0438917725,-0.057943323,-0.004612106,0.0054524875,-0.015511425,0.0127918243
201102,0.0612419965,0.0421747039,-0.025169813,0.0405605364,0.002466,0.0130937077,0.0021961162,0.016079321,-0.055585906,0.0373559803,-0.034250331,0.0151736097
201103,-0.005185615,0.0158124164,0.0281726382,-0.036012585,0.002466,0.0185918129,0.0225065921,-0.05388357,0.0034385197,0.0054997493,-0.031174678,0.0195200572
201104,-0.022112529,-0.006863472,0.0121050467,-0.046499016,0.002669,-0.001398065,0.0178881547,-0.027493974,0.0150385564,-0.005785707,-0.011109891,0.0124312849
201105,-0.06978379,-0.001133876,-0.007241954,0.0019239323,0.002669,0.0097990469,0.0010891336,-0.007914032,0.019331593,-0.016770533,0.0095714117,-0.008978489
201106,0.0299610392,0.0085151485,-0.011989549,0.0548178952,0.002669,0.0152697043,-0.006524647,0.038754588,-0.008481688,-0.00303029,-0.011886773,-0.001739881
201107,-0.008060514,0.0178496873,-0.054568716,0.0126217386,0.002871,0.0143299285,-0.047171666,0.003996868,-0.01145804,-0.006601738,-0.008741883,-0.000276492
201108,-0.053821563,0.021453126,-0.029097022,0.0038033483,0.002871,0.0200102852,-0.01714151,-0.019696157,0.0059166582,-0.02834389,0.0034038741,-0.010397779
201109,-0.097643875,-0.016924476,0.0345193016,-0.027388176,0.002871,0.0034165476,0.0137479031,-0.034011071,0.0263471331,0.0110495724,-0.005769507,0.0168521941
201110,0.028395086,0.0123157027,-0.003224801,-0.016555382,0.002871,0.008427336,-0.004089754,-0.013377329,-0.008030492,0.0020261542,0.0045372565,-0.006723516
201111,-0.053769932,0.0111656413,-0.03155729,-0.001973057,0.002871,0.0109501987,-0.029481768,-0.018857913,-0.003364673,0.0113798524,-0.011452053,0.010679647
